bag,site,induced,wall,t,dt,dpsi_deg,dp_pub,dp_ant,pred_jump,resid,across_pre,across,along_pre,quality,sats,age_s,cov35,dpsi_imu_deg,imu_turn_2s,stale_candidate,gz_max,cls_imu
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:41:45.524,1787967705.5240,0.2010,-8.3640,0.0512,0.0022,0.0533,-0.0022,-0.0355,-0.0301,-0.0368,4,31,1.0000,0.0001,0.0050,0.0680,False,0.0015,slow
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:49:01.650,1787968141.6500,0.2000,58.4448,0.3539,0.0031,0.3569,-0.0030,0.0661,0.3311,0.3476,4,28,1.0000,0.0001,0.8650,22.9820,False,0.0968,slow
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:50:26.303,1787968226.3030,0.2000,-9.0586,0.0526,0.0106,0.0577,-0.0051,-0.0423,-0.0373,-0.0309,4,24,1.0000,0.0001,0.1790,-1.3930,False,0.0401,slow
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:51:34.524,1787968294.5240,0.2000,-64.9576,0.3912,0.0015,0.3926,-0.0013,-0.3728,-0.0506,-0.1186,4,29,1.0000,0.0001,0.0040,0.0260,False,0.0021,slow
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:52:44.531,1787968364.5310,0.2000,21.4107,0.1319,0.0051,0.1358,-0.0039,0.0681,0.1041,0.1136,4,29,1.0000,0.0001,0.0220,12.0680,False,0.0102,slow
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:52:45.533,1787968365.5330,0.2000,17.4159,0.0968,0.0150,0.1107,-0.0139,0.0552,0.0762,0.0796,4,33,1.0000,0.0001,0.1740,20.5320,True,0.1036,slow
run_20260829_2026-08-29-09-12-05,greenhouse,0,2026-08-29 09:52:46.536,1787968366.5360,0.2000,14.2915,0.0917,0.0011,0.0909,0.0008,0.0494,0.0677,0.0765,4,31,1.0000,0.0001,-0.0060,10.8380,True,0.0111,slow
run_20260830_2026-08-30-17-20-39,concrete yard,0,2026-08-30 17:32:56.255,1788082376.2550,0.2000,16.2648,0.0985,0.0050,0.1034,-0.0049,0.0512,0.0728,0.0848,4,26,1.0000,0.0001,0.0080,28.9330,False,0.0080,turn
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:33:51.495,1788680031.4950,0.2010,8.1978,0.0522,0.0025,0.0523,-0.0000,0.0325,0.0381,0.0408,4,17,1.0000,0.0001,-0.0070,0.0060,False,0.0021,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:39.711,1788680079.7110,0.2010,-8.9176,0.0522,0.0047,0.0568,-0.0046,-0.0375,-0.0311,-0.0372,4,22,1.0000,0.0001,0.0010,-0.0010,False,0.0017,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:43.527,1788680083.5270,0.2010,-19.1381,0.1225,0.0034,0.1215,0.0010,-0.0910,-0.0592,-0.0823,4,20,1.0000,0.0001,-0.0050,-0.0050,False,0.0019,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:44.330,1788680084.3300,0.2010,25.6934,0.1708,0.0086,0.1626,0.0082,0.0795,0.1377,0.1511,4,19,1.0000,0.0001,0.0020,0.0100,False,0.0017,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:44.732,1788680084.7320,0.2010,10.0255,0.0609,0.0052,0.0639,-0.0030,0.0309,0.0400,0.0528,4,19,1.0000,0.0001,-0.0090,-0.0030,False,0.0018,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:44.933,1788680084.9330,0.2010,-10.3844,0.0564,0.0111,0.0662,-0.0098,-0.0361,-0.0281,-0.0430,4,20,1.0000,0.0001,-0.0040,-0.0060,False,0.0014,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:45.536,1788680085.5360,0.2010,-167.5083,0.7264,0.0164,0.7268,-0.0004,-0.6124,0.5140,0.3899,4,20,1.0000,0.0001,-0.0050,0.0010,False,0.0014,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:45.736,1788680085.7360,0.2010,-10.6541,0.0663,0.0026,0.0679,-0.0016,-0.0456,-0.0360,-0.0485,4,20,1.0000,0.0001,0.0060,0.0030,False,0.0014,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:46.740,1788680086.7400,0.2000,69.1643,0.4230,0.0090,0.4150,0.0081,0.0358,0.4067,0.4218,4,19,1.0000,0.0001,-0.0010,-0.0010,False,0.0013,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:46.941,1788680086.9410,0.2010,-79.9019,0.4686,0.0083,0.4695,-0.0008,-0.4596,0.0078,-0.0898,4,17,1.0000,0.0001,0.0010,0.0040,False,0.0014,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:47.141,1788680087.1410,0.2000,50.4774,0.3000,0.0154,0.3117,-0.0117,0.0666,0.2682,0.2918,4,17,1.0000,0.0001,-0.0090,-0.0070,False,0.0013,slow
run_20260906_2026-09-06-15-26-15,greenhouse,1,2026-09-06 15:34:47.544,1788680087.5440,0.2030,59.1505,0.3701,0.0096,0.3608,0.0092,0.0696,0.3478,0.3628,4,17,1.0000,0.0001,0.0020,0.0000,False,0.0018,slow
