rule,bag,wall,frames,size_m,dpsi_vs_last_published,d_ant_m,gap_s,reanchor
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:45.669,7,0.1377,20.63,0.0103,0.4,1
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:05.557,3,0.0597,9.38,0.0041,0.2,0
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
v3b g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:24:27.521,1,0.0533,9.05,0.0045,0.2,0
v3b g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:50:08.135,3,0.4122,70.24,0.0112,0.4,1
v3b g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:53:02.016,1,0.2414,-38.43,0.001,0.4,1
v3b g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:36.448,1,0.0515,8.35,0.0045,0.2,0
v3b g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:43.072,2,0.1396,-22.18,0.0022,0.4,1
v3b g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:29.069,1,0.1693,24.41,0.018,0.4,1
v3b g=10,run_20260907_2026-09-07-14-19-47,2026-09-07 14:25:44.238,1,0.3214,-52.53,0.0022,0.4,1
v3b g=10,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:08.310,2,0.088,-13.75,0.002,0.4,1
v3b g=10,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:16.141,2,0.1058,-15.98,0.0045,0.4,1
v3b g=10,run_20260910_2026-09-10-16-42-10,2026-09-10 17:02:24.158,1,0.074,-10.87,0.0081,0.4,1
v3b g=10,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
v3b g=10,tight08_0824_2026-08-24-18-56-08,2026-08-24 18:56:14.324,1,0.1318,20.61,0.0014,0.4,1
v1 g=17,concrete_20260826_2026-08-26-17-52-24,2026-08-26 18:22:45.503,2,0.0805,-11.4,0.0122,0.2,1
v1 g=17,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
v1 g=17,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:41.648,1,0.063,10.18,0.0041,0.2,0
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:32.635,1,0.0529,8.96,0.005,0.2,0
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:42.676,1,0.0684,11.14,0.0032,0.2,0
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:48:08.901,1,0.1227,-20.09,0.0108,0.2,1
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:50:06.519,1,0.0789,12.09,0.002,0.2,0
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:53:15.447,1,0.0537,8.5,0.0051,0.2,0
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:56:08.661,1,0.0683,10.81,0.0014,0.2,0
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:04.766,2,0.1434,25.13,0.0175,0.2,1
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:13.799,2,0.1196,-18.03,0.0114,0.2,1
v1 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:19.622,1,0.0784,-9.45,0.0188,0.2,0
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:43.103,1,0.3546,-58.38,0.0022,0.2,1
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:56:40.469,1,0.0501,-10.3,0.0156,0.2,0
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:59:37.543,3,0.091,13.47,0.0117,0.2,0
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:00:55.647,1,0.177,26.0,0.0139,0.2,1
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
v1 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:58.582,1,0.0633,11.45,0.0102,0.2,0
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:27:41.158,1,0.2294,-36.88,0.0032,0.2,1
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:36:24.738,1,0.1493,-24.56,0.0117,0.2,1
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:11.622,1,0.0889,14.42,0.003,0.2,0
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:45.524,1,0.0513,-8.36,0.002,0.2,0
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:49:02.252,1,0.3578,59.48,0.005,0.2,1
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:50:26.303,1,0.0522,-9.06,0.0114,0.2,0
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:51:35.326,1,0.3925,-64.45,0.003,0.2,1
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:23.873,1,0.1819,-27.71,0.0076,0.2,1
v1 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:44.731,3,0.1279,20.21,0.0022,0.2,1
v1 g=17,run_20260830_2026-08-30-17-20-39,2026-08-30 17:32:56.255,1,0.0985,16.26,0.0051,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:48.347,9,0.3764,62.29,0.0022,0.2,1
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:35:00.601,1,0.0727,12.36,0.006,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:51:42.056,1,0.2757,44.49,0.0014,0.2,1
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:03.897,2,0.404,-67.1,0.001,0.2,1
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:31.421,2,0.074,11.93,0.0081,0.2,1
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.491,1,0.1091,-16.6,0.0051,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:45.268,7,0.1333,20.63,0.0057,0.2,1
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:05.557,3,0.0597,9.38,0.0041,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
v1 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:24:27.521,1,0.0533,9.05,0.0045,0.2,0
v1 g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:50:08.336,3,0.4251,70.75,0.003,0.2,1
v1 g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:53:01.815,1,0.2394,-38.22,0.0014,0.2,1
v1 g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:42.671,5,0.1406,-21.91,0.002,0.2,1
v1 g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:28.668,1,0.163,24.99,0.0078,0.2,1
v1 g=17,run_20260907_2026-09-07-14-19-47,2026-09-07 14:25:44.238,1,0.3199,-52.53,0.0036,0.2,1
v1 g=17,run_20260907_2026-09-07-14-19-47,2026-09-07 14:29:04.016,1,0.5971,109.44,0.0022,0.6,1
v1 g=17,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:07.709,3,0.085,-13.59,0.0032,0.2,0
v1 g=17,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:16.744,2,0.1149,17.59,0.0036,0.2,1
v1 g=17,run_20260912_2026-09-12-07-46-55,2026-09-12 08:04:59.684,1,0.1316,19.42,0.012,0.2,1
v1 g=17,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
v2 g=17,concrete_20260826_2026-08-26-17-52-24,2026-08-26 18:22:45.503,2,0.0805,-11.4,0.0122,0.2,1
v2 g=17,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
v2 g=17,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:41.648,1,0.063,10.18,0.0041,0.2,0
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:32.635,1,0.0529,8.96,0.005,0.2,0
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:42.676,1,0.0684,11.14,0.0032,0.2,0
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:48:08.901,1,0.1227,-20.09,0.0108,0.2,1
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:50:06.519,1,0.0789,12.09,0.002,0.2,0
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:53:15.447,1,0.0537,8.5,0.0051,0.2,0
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:56:08.661,1,0.0683,10.81,0.0014,0.2,0
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:04.766,2,0.1434,25.13,0.0175,0.2,1
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:13.799,2,0.1196,-18.03,0.0114,0.2,1
v2 g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:19.622,1,0.0784,-9.45,0.0188,0.2,0
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:43.103,1,0.3546,-58.38,0.0022,0.2,1
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:56:40.469,1,0.0501,-10.3,0.0156,0.2,0
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:59:37.543,3,0.091,13.47,0.0117,0.2,0
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:00:55.647,1,0.177,26.0,0.0139,0.2,1
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
v2 g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:58.582,1,0.0633,11.45,0.0102,0.2,0
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:27:41.158,1,0.2294,-36.88,0.0032,0.2,1
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:36:24.738,1,0.1493,-24.56,0.0117,0.2,1
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:11.622,1,0.0889,14.42,0.003,0.2,0
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:45.524,1,0.0513,-8.36,0.002,0.2,0
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:49:02.252,1,0.3578,59.48,0.005,0.2,1
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:50:26.303,1,0.0522,-9.06,0.0114,0.2,0
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:51:35.326,1,0.3925,-64.45,0.003,0.2,1
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:23.873,1,0.1819,-27.71,0.0076,0.2,1
v2 g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:44.731,3,0.1279,20.21,0.0022,0.2,1
v2 g=17,run_20260830_2026-08-30-17-20-39,2026-08-30 17:32:56.255,1,0.0985,16.26,0.0051,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:48.347,8,0.3764,62.29,0.0022,0.2,1
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:35:00.601,1,0.0727,12.36,0.006,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:51:42.056,1,0.2757,44.49,0.0014,0.2,1
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:03.897,2,0.404,-67.1,0.001,0.2,1
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:31.421,2,0.074,11.93,0.0081,0.2,1
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.491,1,0.1091,-16.6,0.0051,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:45.268,7,0.1333,20.63,0.0057,0.2,1
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:05.557,3,0.0597,9.38,0.0041,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
v2 g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:24:27.521,1,0.0533,9.05,0.0045,0.2,0
v2 g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:50:08.336,3,0.4251,70.75,0.003,0.2,1
v2 g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:53:01.815,1,0.2394,-38.22,0.0014,0.2,1
v2 g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:42.671,5,0.1406,-21.91,0.002,0.2,1
v2 g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:28.668,1,0.163,24.99,0.0078,0.2,1
v2 g=17,run_20260907_2026-09-07-14-19-47,2026-09-07 14:25:44.238,1,0.3199,-52.53,0.0036,0.2,1
v2 g=17,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:07.709,3,0.085,-13.59,0.0032,0.2,0
v2 g=17,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:16.744,2,0.1149,17.59,0.0036,0.2,1
v2 g=17,run_20260912_2026-09-12-07-46-55,2026-09-12 08:04:59.684,1,0.1316,19.42,0.012,0.2,1
v2 g=17,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
v3a g=17,concrete_20260826_2026-08-26-17-52-24,2026-08-26 18:22:45.503,2,0.0805,-11.4,0.0122,0.2,1
v3a g=17,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
v3a g=17,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
v3a g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:41.648,1,0.063,10.18,0.0041,0.2,0
v3a g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:32.635,1,0.0529,8.96,0.005,0.2,0
v3a g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:42.676,1,0.0684,11.14,0.0032,0.2,0
v3a g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:14.602,2,0.111,-16.68,0.005,0.2,0
v3a g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:19.622,1,0.0784,-9.45,0.0188,0.2,0
v3a g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:56:40.469,1,0.0501,-10.3,0.0156,0.2,0
v3a g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:59:37.543,3,0.091,13.47,0.0117,0.2,0
v3a g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
v3a g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
v3a g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
v3a g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
v3a g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:58.582,1,0.0633,11.45,0.0102,0.2,0
v3a g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
v3a g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:11.622,1,0.0889,14.42,0.003,0.2,0
v3a g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:45.524,1,0.0513,-8.36,0.002,0.2,0
v3a g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:46.536,1,0.0913,14.29,0.001,0.2,0
v3a g=17,run_20260830_2026-08-30-17-20-39,2026-08-30 17:32:56.255,1,0.0985,16.26,0.0051,0.2,0
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:39.711,1,0.0519,-8.92,0.005,0.2,0
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:44.732,2,0.0959,-14.72,0.005,0.2,1
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:02.491,1,0.071,11.95,0.0073,0.2,0
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.491,1,0.1091,-16.6,0.0051,0.2,0
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:48.482,3,0.0998,14.34,0.0085,3.21,1
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:07.564,2,0.106,-16.65,0.0063,16.87,1
v3a g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
v3a g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:38.856,1,0.0596,-9.47,0.0032,0.2,0
v3a g=17,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:07.709,3,0.085,-13.59,0.0032,0.2,0
v3a g=17,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:17.144,2,0.1052,16.19,0.0036,0.4,1
v3a g=17,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
v3b g=17,concrete_20260826_2026-08-26-17-52-24,2026-08-26 18:22:45.503,2,0.0805,-11.4,0.0122,0.2,1
v3b g=17,orchard_20260826_2026-08-26-08-31-44,2026-08-26 08:40:44.376,1,0.0631,9.4,0.0073,0.2,0
v3b g=17,run_20260827_2026-08-27-18-54-23,2026-08-27 18:57:35.721,1,0.0625,9.05,0.0058,0.2,0
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:27:41.648,1,0.063,10.18,0.0041,0.2,0
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:32.635,1,0.0529,8.96,0.005,0.2,0
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:41:42.676,1,0.0684,11.14,0.0032,0.2,0
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:50:06.519,1,0.0789,12.09,0.002,0.2,0
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:53:15.447,1,0.0537,8.5,0.0051,0.2,0
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 10:56:08.661,1,0.0683,10.81,0.0014,0.2,0
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:01:09.142,1,0.1591,-24.9,0.0036,0.4,1
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:05.769,2,0.1626,27.03,0.0117,1.0,1
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:14.602,1,0.111,-16.68,0.005,0.2,0
v3b g=17,run_20260828_2026-08-28-10-16-47,2026-08-28 11:32:19.622,1,0.0784,-9.45,0.0188,0.2,0
v3b g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:42:43.103,1,0.3572,-58.38,0.0042,0.4,1
v3b g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:56:40.469,1,0.0501,-10.3,0.0156,0.2,0
v3b g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 16:59:37.543,3,0.091,13.47,0.0117,0.2,0
v3b g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:02:44.664,1,0.0658,-9.21,0.01,0.2,0
v3b g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:09:37.810,1,0.0542,6.19,0.0189,0.4,0
v3b g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:12:24.231,1,0.0527,-6.81,0.0098,0.2,0
v3b g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:52.960,1,0.061,8.08,0.0143,0.2,0
v3b g=17,run_20260828_2026-08-28-16-38-15,2026-08-28 17:13:58.582,1,0.0633,11.45,0.0102,0.2,0
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:27:41.359,1,0.229,-36.62,0.0014,0.4,1
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:33:06.538,1,0.0523,6.85,0.0099,0.2,0
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:11.622,1,0.0889,14.42,0.003,0.2,0
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:41:45.524,1,0.0513,-8.36,0.002,0.2,0
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:49:02.252,1,0.3538,59.48,0.009,0.4,1
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:50:26.303,1,0.0522,-9.06,0.0114,0.2,0
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:51:35.126,1,0.391,-64.59,0.0014,0.4,1
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:24.274,1,0.188,-27.54,0.017,0.4,1
v3b g=17,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:46.135,2,0.1193,20.97,0.0139,0.4,1
v3b g=17,run_20260830_2026-08-30-17-20-39,2026-08-30 17:32:56.255,1,0.0985,16.26,0.0051,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:46.138,11,0.7314,-175.46,0.0045,0.4,1
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:35:00.601,1,0.0727,12.36,0.006,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:51:42.256,1,0.2792,44.91,0.002,0.4,1
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:03.697,2,0.3939,-65.39,0.0014,0.4,1
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:31.421,2,0.074,11.93,0.0081,0.2,1
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.491,1,0.1091,-16.6,0.0051,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:45.669,7,0.1377,20.63,0.0103,0.4,1
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:05.557,3,0.0597,9.38,0.0041,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
v3b g=17,run_20260906_2026-09-06-15-26-15,2026-09-06 16:24:27.521,1,0.0533,9.05,0.0045,0.2,0
v3b g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:50:08.135,3,0.4122,70.24,0.0112,0.4,1
v3b g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:53:02.016,1,0.2414,-38.43,0.001,0.4,1
v3b g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:36.448,1,0.0515,8.35,0.0045,0.2,0
v3b g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:43.072,2,0.1396,-22.18,0.0022,0.4,1
v3b g=17,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:29.069,1,0.1693,24.41,0.018,0.4,1
v3b g=17,run_20260907_2026-09-07-14-19-47,2026-09-07 14:25:44.238,1,0.3214,-52.53,0.0022,0.4,1
v3b g=17,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:07.709,3,0.085,-13.59,0.0032,0.2,0
v3b g=17,run_20260909_2026-09-09-07-56-42,2026-09-09 08:13:17.144,2,0.1052,16.19,0.0036,0.4,1
v3b g=17,run_20260912_2026-09-12-13-58-05,2026-09-12 15:41:49.361,1,0.0597,7.67,0.012,0.2,0
