rule,bag,wall,frames,size_m,dpsi_vs_last_published,d_ant_m,gap_s,reanchor
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:50:26.303,1,0.0522,-9.06,0.0114,0.2,0
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:51:35.727,1,0.3928,-64.4,0.0036,0.6,1
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:45.133,3,0.1862,30.46,0.0122,0.2,1
v2 g=10,run_20260829_2026-08-29-09-12-05,2026-08-29 09:52:53.156,1,0.1214,-18.25,0.0081,0.2,1
v2 g=10,run_20260830_2026-08-30-10-12-33,2026-08-30 10:13:59.854,1,0.0639,-10.77,0.0076,0.2,1
v2 g=10,run_20260830_2026-08-30-17-20-39,2026-08-30 17:32:56.659,1,0.1324,21.05,0.0022,0.0,1
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:33:51.495,1,0.0524,8.2,0.003,0.2,0
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:34:47.342,5,0.6792,-140.2,0.0158,1.4,1
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:35:01.002,1,0.0792,10.39,0.0156,0.2,1
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:51:42.859,1,0.2749,44.34,0.0014,0.6,1
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:04.299,2,0.3903,-64.9,0.0036,0.6,1
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 15:57:31.421,2,0.074,11.93,0.0081,0.2,1
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:03:16.568,1,0.0693,-9.63,0.0081,0.2,0
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:05:55.675,1,0.0818,-9.79,0.02,0.2,0
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:11:52.518,1,0.0516,5.43,0.0197,0.2,0
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:18:20.892,1,0.1095,-17.32,0.001,0.2,1
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:22:45.468,7,0.1394,20.63,0.015,0.2,1
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:05.557,3,0.0597,9.38,0.0041,0.2,0
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:23:15.602,2,0.0712,9.25,0.015,0.2,0
v2 g=10,run_20260906_2026-09-06-15-26-15,2026-09-06 16:24:27.521,1,0.0533,9.05,0.0045,0.2,0
v2 g=10,run_20260906_2026-09-06-16-32-55,2026-09-06 16:56:03.259,1,0.0601,-12.48,0.0194,0.4,1
v2 g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:53:02.216,1,0.2383,-38.25,0.002,0.2,1
v2 g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:57:42.871,4,0.1373,-22.01,0.0022,0.2,1
v2 g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:23.048,1,0.0979,-17.95,0.0166,0.4,1
v2 g=10,run_20260907_2026-09-07-13-15-11,2026-09-07 13:59:29.069,1,0.1603,24.41,0.0078,0.2,1
v2 g=10,run_20260907_2026-09-07-14-19-47,2026-09-07 14:25:44.639,1,0.3293,-52.42,0.0067,0.4,1
