bag,site,induced,t,dt,dpsi_deg,dpsi_imu_deg,cls_imu,has_lidar,n_lidar_win,dpsi_lidar_deg,n_lidar_2s,dpsi_lidar_2s,dpsi_gyro_win_deg,dpsi_gyro_2s_deg,min_fitness_win,min_fitness_2s
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682312.5180,0.2000,5.4316,0.0010,slow,1,5,0.0151,20,-0.0361,0.1373,0.5324,0.894,0.891
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682700.4910,0.2010,-16.5971,-0.0040,slow,1,5,-0.2170,20,-0.3961,0.1383,0.5477,0.887,0.880
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682965.0670,0.2010,20.6317,0.0040,slow,1,5,0.0064,20,-0.1173,0.1390,0.5263,0.888,0.888
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682968.4820,0.2010,-19.1598,0.0090,slow,1,5,0.0589,20,0.0371,0.1274,0.5352,0.932,0.924
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682969.4870,0.2010,-8.7938,-0.0000,slow,1,5,-0.0416,20,-0.1465,0.1360,0.5350,0.926,0.924
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682970.2910,0.2010,9.2246,-0.0040,slow,1,5,-0.0260,20,-0.1001,0.1527,0.5517,0.926,0.922
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682970.4920,0.2010,-18.5379,0.0020,slow,1,5,-0.0261,20,-0.1130,0.1469,0.5453,0.935,0.922
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682972.5000,0.2010,-7.5012,-0.0030,slow,1,5,-0.0599,20,0.0285,0.1338,0.5170,0.923,0.866
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682974.5080,0.2010,-9.6357,-0.0040,slow,1,5,-0.0175,20,-0.1128,0.1265,0.5411,0.920,0.893
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682985.5570,0.2010,9.3769,-0.0030,slow,1,5,0.0338,20,-0.0445,0.1269,0.5379,0.929,0.917
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682986.5610,0.2010,9.6032,0.0030,slow,1,5,-0.0776,20,-0.0148,0.1295,0.5289,0.928,0.927
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682989.5740,0.2010,6.6266,-0.0000,slow,1,5,-0.0439,20,0.0354,0.1397,0.5215,0.929,0.920
run_20260906_2026-09-06-15-26-15,greenhouse,1,1788682995.6020,0.2000,9.2493,0.0060,slow,1,5,-0.0332,20,0.0206,0.1131,0.5002,0.910,0.910
