bag,n_frames,duration_s,odom_hz,fixed_frames,hdok_false_frames,has_fix,fix_origin,imu_topic,imu_hz,dpsi_med,dpsi_p90,dpsi_p99,dpsi_max,n_straight,straight_p99,straight_max,straight_med,n_turn,turn_p99,turn_max,turn_med,n_slow,slow_p99,slow_max,slow_med,n_na,na_p99,na_max,na_med,n_imu_straight,imu_straight_p99,imu_straight_max,n_imu_turn,imu_turn_p99,imu_turn_max,n_gt5,n_gt10,n_gt20,n_gt45,max_dp_pub,max_dp_ant,max_dp_fix,gyro_p99_deg_frame,gyro_max_deg_frame,runtime_s,gyro_p99_deg_frame_filt,gyro_max_deg_frame_filt,gyro_bad_samples,pstep_5cm,pstep_10cm,pstep_20cm,pstep_30cm
repeat_0824_2026-08-24-17-15-53.bag,3155,630.6,5.00,3155,0,0,,,0.0,0.1545,0.4306,1.0813,2.7867,168,0.9640,1.1661,0.2084,42,1.8507,1.9620,0.5826,2930,1.0317,2.7867,0.1526,14,1.2052,1.2900,0.3436,0,nan,nan,0,nan,nan,0,0,0,0,0.0708,0.0788,0.0000,,,0.9,,,0,0,0,0,0
run_20260826_2026-08-26-19-52-27.bag,768,153.2,5.01,0,0,0,,/ch110/data_raw,96.8,0.3473,0.8377,1.4778,1.8127,15,0.8118,0.8371,0.3916,0,nan,nan,nan,738,1.4807,1.8127,0.3463,14,0.6967,0.7312,0.3051,726,1.4818,1.8127,0,nan,nan,0,0,0,0,1.0441,1.0455,0.0000,0.0308,0.0438,0.5,0.0309,0.0435,0,0,0,0,0
run_20260826_2026-08-26-19-56-35.bag,1107,222.2,4.98,0,0,0,,/ch110/data_raw,84.2,0.3658,0.8991,1.6281,6.1064,0,nan,nan,nan,0,nan,nan,nan,1092,1.6512,6.1064,0.3681,14,0.9565,0.9750,0.3418,919,1.3624,1.6310,0,nan,nan,1,0,0,0,0.0479,0.0518,0.0000,0.0297,0.0385,0.6,0.0298,0.0390,0,0,0,0,0
run_20260826_2026-08-26-20-01-01.bag,1840,367.5,5.01,0,0,0,,/ch110/data_raw,97.1,0.3405,0.8372,1.3122,1.8467,0,nan,nan,nan,0,nan,nan,nan,1825,1.3124,1.8467,0.3405,14,0.7133,0.7211,0.3277,1769,1.3183,1.8467,0,nan,nan,0,0,0,0,0.0122,0.0105,0.0000,0.0307,0.0981,1.2,0.0309,0.0985,0,0,0,0,0
run_20260827_2026-08-27-18-54-23.bag,11153,2230.2,5.00,11153,0,0,,/ch110/data_raw,98.1,0.2859,1.0639,5.1942,12.7299,5907,0.9770,2.5789,0.2426,86,12.2127,12.7299,1.0666,5144,5.3693,9.0548,0.3699,15,0.8285,0.8581,0.2279,9200,1.1946,9.0548,1725,5.6867,12.7299,213,5,0,0,0.3033,0.3049,0.0000,5.4713,12.8601,8.4,5.4714,12.8606,0,1,0,0,0
run_20260828_2026-08-28-10-16-47.bag,29355,6022.0,4.87,18042,0,0,,/ch110/data_raw,99.9,0.2627,1.4588,7.8772,168.2874,3089,7.3505,146.2451,0.6113,1917,19.2767,168.2874,1.7603,24333,3.6924,62.7413,0.2207,15,0.6650,0.7149,0.0648,27219,4.1596,83.6299,2082,19.7044,168.2874,604,192,28,10,2.1764,2.3605,0.0000,8.1627,15.6237,23.2,8.1626,15.6234,0,17,7,2,2
run_20260828_2026-08-28-16-38-15.bag,10999,2199.7,5.00,10999,0,0,,/ch110/data_raw,82.1,0.6766,3.7514,10.8884,123.4849,3561,8.7932,35.2012,1.4273,872,23.7738,123.4849,2.1241,6551,8.5696,28.0138,0.3988,14,1.9312,1.9963,0.6280,7955,8.8466,38.0238,1062,14.2471,28.0138,602,129,23,3,1.7898,1.7954,0.0000,5.3673,14.0539,14.5,5.3675,14.0535,0,13,3,2,2
run_20260829_2026-08-29-09-12-05.bag,15714,3142.6,5.00,13499,0,0,,/ch110/data_raw,85.7,0.2117,2.0569,7.5142,175.7729,2408,7.2599,26.3912,1.0245,1205,40.1586,175.7729,1.4846,12086,5.2480,64.9576,0.1562,14,0.6944,0.7057,0.4519,11697,5.6871,175.7729,1755,16.6618,104.5554,384,91,33,14,2.5031,2.5018,0.0000,7.0283,14.4160,21.9,7.0280,14.4156,0,10,4,3,2
run_20260830_2026-08-30-09-41-47.bag,448,89.5,5.01,448,0,0,,/ch110/data_raw,46.6,0.1898,0.4470,0.6529,1.2455,0,nan,nan,nan,0,nan,nan,nan,433,0.6503,1.2455,0.1895,14,0.6223,0.6523,0.2213,193,0.6353,0.7578,0,nan,nan,0,0,0,0,0.0089,0.0106,0.0000,0.0486,0.1187,0.2,0.0486,0.1192,0,0,0,0,0
run_20260830_2026-08-30-09-44-06.bag,3748,749.5,5.00,3748,0,0,,/ch110/data_raw,93.8,0.1862,0.4517,0.7351,1.8667,0,nan,nan,nan,0,nan,nan,nan,3733,0.7351,1.8667,0.1862,14,0.4176,0.4394,0.1889,3501,0.7446,1.8667,0,nan,nan,0,0,0,0,0.0136,0.0124,0.0000,0.0304,0.1528,7.3,0.0309,0.1524,0,0,0,0,0
run_20260830_2026-08-30-10-12-33.bag,621,124.1,5.00,621,0,0,,/ch110/data_raw,87.3,0.2450,1.8666,11.9855,13.4646,28,10.1648,10.7274,0.3732,86,13.2289,13.4646,0.8170,492,11.5973,12.8689,0.2191,14,0.5758,0.5925,0.0938,365,0.9962,8.6436,161,12.9963,13.4646,45,27,0,0,0.2606,0.2619,0.0000,12.6191,13.3217,1.0,12.6193,13.3213,0,0,0,0,0
run_20260830_2026-08-30-10-15-08.bag,2456,491.0,5.00,2456,0,0,,/ch110/data_raw,97.5,0.2361,0.9633,5.2355,5.9548,1138,0.9215,1.3057,0.2280,24,1.4215,1.4646,0.3921,1279,5.4105,5.9548,0.2423,14,0.6445,0.6730,0.2397,2007,1.0892,4.3308,370,5.7375,5.9548,49,0,0,0,0.0704,0.0695,0.0000,5.5625,6.0324,4.8,5.5627,6.0321,0,0,0,0,0
run_20260830_2026-08-30-10-35-18.bag,25356,5070.9,5.00,25356,0,0,,/ch110/data_raw,99.0,0.3408,4.5113,5.4313,7.0293,17517,4.3188,6.4330,0.2450,1031,5.4541,6.1334,0.9831,6793,5.7146,7.0293,2.8461,14,0.4340,0.4440,0.2227,18158,4.1535,6.4330,7108,5.7158,7.0293,1081,0,0,0,0.1246,0.1385,0.0000,5.7687,654314905.6000,52.2,5.7677,7.2800,3,0,0,0,0
run_20260830_2026-08-30-17-20-39.bag,3814,762.6,5.00,3814,0,0,,/ch110/data_raw,98.9,0.2443,0.7534,5.0358,34.9011,1964,2.0452,7.1919,0.2581,307,11.1733,34.9011,0.6669,1528,1.5275,3.3882,0.1906,14,0.5782,0.5892,0.2199,3441,1.8168,8.3577,313,11.1273,34.9011,39,7,2,0,0.3313,0.3296,0.0000,6.0209,12.7039,7.2,6.0212,12.7036,0,1,0,0,0
run_20260830_2026-08-30-18-16-30.bag,508,101.4,5.01,200,0,0,,/ch110/data_raw,148.1,0.3792,1.5789,10.3151,18.8772,31,6.5407,7.0709,0.9125,37,17.1699,18.8772,2.7317,425,5.5236,18.4232,0.3502,14,0.8350,0.8351,0.1019,405,5.3675,7.4627,44,18.6820,18.8772,22,8,0,0,1.8121,1.8120,0.0000,9.6131,11.6707,1.3,9.6131,11.6712,0,0,0,0,0
run_20260904_2026-09-04-13-49-34.bag,6073,1214.3,5.00,6073,0,0,,/ch110/data_raw,99.5,0.5369,3.8650,5.1161,7.7824,2835,2.6038,4.7330,0.3837,725,4.0926,6.0135,0.4848,2498,5.4293,7.7824,1.1743,14,0.3639,0.3651,0.1632,3603,3.2368,4.6230,2421,5.4371,7.7824,100,0,0,0,0.3440,0.3411,0.0000,5.3061,7.2434,11.7,5.3059,7.2433,0,0,0,0,0
run_20260906_2026-09-06-08-02-57.bag,3035,607.0,5.00,3035,0,0,,/ch110/data_raw,99.0,0.1899,0.5691,5.0510,12.9966,77,3.6275,3.6333,0.2639,74,5.6844,6.8112,0.6721,2869,5.0491,12.9966,0.1867,14,0.3766,0.3954,0.1055,2698,0.8052,3.8591,289,8.2564,12.9966,38,2,0,0,0.3209,0.3456,0.0000,5.2912,13.0048,6.1,5.2909,13.0050,0,0,0,0,0
run_20260906_2026-09-06-08-13-50.bag,3944,788.7,5.00,3944,0,0,,/ch110/data_raw,99.2,0.5674,4.0851,8.7377,14.3845,1894,3.3325,9.3283,0.5157,646,10.3953,14.3845,1.3594,1389,8.7823,9.8814,0.4486,14,0.5924,0.6197,0.1452,2506,2.7435,9.3283,1389,9.6835,14.3845,275,11,0,0,0.1981,0.2012,0.0000,9.1101,12.9149,6.8,9.1101,12.9145,0,0,0,0,0
